image_id,predicted,actual
436015762_8d0bae90c3,startseq man is walking down the edge of rocky path endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq dog is digging in the sand at the water endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq two people are posing for picture endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq man in red jacket is sitting next to car with shopping bag endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq two people are sitting at table looking at something in the air endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq man in red hat and hat is sitting on sled endseq,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq man wearing maroon outfit bends down the ground with his brush up endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq two kids are playing soccer endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq man is jumping off small horse as it is out by the sand endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq man is jumping off the beach endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq two dogs are playing in field endseq,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq two little girls are playing on bed endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq the man is playing with frisbee in the snow endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq woman in green shirt is standing on the sidewalk endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq people are gathered at carnival carnival endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq man and woman are sitting on trampoline endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs are playing together in field endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two people stand on the shore of lake endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq woman in yellow skirt is standing in front of yellow building endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq man wearing scarf and scarf smiles endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq man in striped shirt and jeans is walking down the street with earphones in his mouth endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq brown dog is feeding litter of pups endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq the teenagers are standing on the beach endseq,startseq bunch of people at the beach endseq
