image_id,predicted,actual
436015762_8d0bae90c3,startseq man is riding skateboard on the top of an overcast day endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq two dogs are fighting on log endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq four musicians are sitting outside of an outdoor musicians endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq man in blue shirt and blue shirt is standing in front of an art counter endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq woman is sitting at an outdoor train tracks endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq child in red jacket and red jacket is riding red red red red red red red red red red red red red red red red red red red red red red red red red red,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq man in blue shirt is sitting on the metal bench endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq two children are playing cricket in field endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq man is sitting on an atv on the side of the green fields endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq man in red swim trunks is jumping off of the ocean piles of the ocean endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq two dogs are playing in the grass endseq,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq girl in pink dress is jumping on the sofa endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq three dogs are standing in front of white dog and yellow dog in front of white dog endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq woman in red shirt and hat is standing in front of an amusement park endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq diner with the yellow hat is standing in front of an audience endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq woman in black shirt is sitting on the beach endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs are running in field endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two people are sitting on the end of water endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq woman in red shirt is walking on the street endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq swimmer wearing white hat and white cap endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq woman wearing yellow shirt and black pants is standing on the street with an orange hair endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq white dog is standing on the ground endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq group of people are standing on the beach endseq,startseq bunch of people at the beach endseq
442918418_0f29c97fa9,startseq dog and dog walk on tree endseq,startseq brown dog is jumping over fallen tree in the woods endseq
443430496_3fea95a07d,startseq golden retriever is running through water endseq,startseq brown dog swimming in murky water endseq
443885436_6e927e6c58,startseq two dogs are running in the snow endseq,startseq tan curly haired dog jumps in the snow with stick in its mouth endseq
444047125_66b249287c,startseq extreme extreme hikers are walking down grassy mountainside endseq,startseq person hiking at the foot of snowcapped mountains endseq
444057017_f1e0fcaef7,startseq the boy is hanging on the edge of slide endseq,startseq little girl gets her picture taken while on the merry-go-round endseq
444481722_690d0cadcf,startseq two men do skateboarding on the street endseq,startseq dark skinned man walks by woman talking on cellphone endseq
444803340_fdcaab86f9,startseq two men are standing in front of large tree endseq,"startseq ""a guy and girl both wearing white shirts and jeans stand under flowering tree ."" endseq"
444845904_a4531c811a,startseq person in yellow jacket is riding her bike on the road endseq,"startseq ""a man in yellow helmet climbs cliff face snow behind him ."" endseq"
444872454_9f51e07f88,startseq group of men in field with one is standing in front of green flowers endseq,startseq group of students dressed in sweatshirts and jackets head towards the right endseq
444881000_bba92e585c,startseq three people are standing in lawn endseq,startseq group of college students walk in nice weather endseq
445148321_9f2f3ac711,startseq person is walking along the top of snowy embankment endseq,startseq person in the distance hikes among hoodoos with stars visible in the sky endseq
445655284_c29e6d7323,startseq dog is running through the snow endseq,startseq black and brown dog walks through the snow near building endseq
445861800_75fc6a8c16,startseq man in white shirt and hat is standing in front of traffic endseq,startseq three men walking on sidewalk in city endseq
446138054_d40c66d5f0,startseq the girl is performing stunt on cracked cracked surface endseq,startseq man in an orange hat jumping endseq
446286714_dcec7f339e,startseq woman in black shirt is walking on the street endseq,startseq an elderly man is sitting on bench endseq
446291803_2fd4641b99,startseq two men are sitting on an amusement park ride endseq,startseq these woman are watching people play tennis from bench endseq
446514680_ff5ca15ece,startseq two dogs run on the grass endseq,startseq two brown dogs are fighting and they are both wearing red endseq
447111935_5af98563e3,startseq little girl is running on the grass endseq,startseq the two greyhound dogs wearing sweaters are playing in the grass endseq
447722389_4b51b7e13d,startseq dog is running on the lawn endseq,startseq brown and white dog is jumping high and catching blue ball endseq
447733067_09cfac3286,startseq woman in black dress is walking on the street endseq,startseq girl in skimpy bikini outfit walks and carries helmet endseq
447800028_0242008fa3,startseq dog runs through the snow endseq,startseq black dog playing with purple toy in the snow endseq
448252603_7d928c900e,startseq two people are walking down the sand endseq,startseq boy pointing in direction on dirt road endseq
448257345_ce149c2ea6,startseq small brown and white dog is playing with large ball endseq,startseq dog is staring at the food in the plate of person eating endseq
44856031_0d82c2c7d1,startseq dog chases tennis ball in the grass endseq,startseq brown dog is sprayed with water endseq
448590900_db83c42006,startseq two dogs run through field with brown dog in field endseq,startseq brown dog is sniffing around green grass on hill endseq
448658518_eec0b648a6,startseq skateboarder is using skateboard trick endseq,startseq large man dressed in black on street corner by red brick building endseq
448916362_17f3f1d0e1,startseq two dogs are running on the grass endseq,startseq dog is running through field with its tongue hanging out endseq
449287870_f17fb825d7,startseq boy is jumping off jungle gym endseq,startseq female toddler wearing pink shirt is playing on playground endseq
449352117_63c359c6e7,startseq black and white dog is gesturing on the ground endseq,startseq brown and black puppy stands by camera endseq
450596617_ed37ec0fe4,startseq woman wearing white pants and white pants is walking on the sidewalk endseq,startseq man and woman walking near the ocean endseq
451081733_40218cec31,startseq group of people are sitting on the beach endseq,startseq man on the beach in jeans looking at his camera endseq
451326127_2d95a2e1c2,startseq dog is running down the edge of tree endseq,startseq dog jumping over fallen tree in the forest endseq
451597318_4f370b1339,startseq the dog is jumping over the dog endseq,startseq brown dog leaps up to catch an orange toy endseq
452345346_afe1248586,startseq brown and white dog is rolling on the grass endseq,startseq brown and white dog chews on tire endseq
452363869_cad37e609f,startseq dog chasing after dog in the grass endseq,startseq black dog chases ball in the grass endseq
452416075_60b2bb5832,startseq boy in blue shirt is jumping down the stairs endseq,startseq baby dressed in blue jumps outside endseq
452419961_6d42ab7000,startseq two dogs are sitting on wooden bench endseq,startseq the three children are in cage endseq
453473508_682c0a7189,startseq two dogs are playing in water endseq,startseq brown dog is running though river endseq
453756106_711c20471a,startseq two dogs are playing in the sand endseq,"startseq ""a large brown fluffy dog with small white and brown dog on dirt surface ."" endseq"
454686980_7517fe0c2e,startseq woman in black shirt is dancing with his opponent in the air endseq,startseq girl who looks upset with her arms crossed endseq
454691853_cc1e0fa6a1,startseq white dog is running on the grass endseq,startseq dog carries leash in its mouth endseq
454709143_9c513f095c,startseq two people are standing on cliff looking at the end of cliff endseq,startseq man dressed in blue holds sign while standing behind couple of trees and in front of large concrete wall with red writing on it endseq
455611732_d65bf3e976,startseq person is snowboarding through the water endseq,startseq hiker walks on rocky ground at the base of foggy mountain endseq
455856615_f6361d9253,startseq person in yellow is skiing down the slope endseq,startseq skier flies through the air endseq
456299217_b2802efbc2,startseq skateboarder does trick on skateboard endseq,startseq girl sits outside at large fountain endseq
456512643_0aac2fa9ce,startseq two dogs are running through grassy field endseq,startseq brown dog is running through grassy field endseq
457631171_12b1aee828,startseq person is standing on the edge of cliff endseq,startseq man extends his arms in front of large rock formation endseq
457875937_982588d918,startseq dog runs through the grass endseq,"startseq ""two black brown and white dogs running in green grass with ears up on heads ."" endseq"
457945610_1a23b9ced0,startseq man in red bathing suit is jumping off the water endseq,startseq girl in striped swimsuit is jumping into the ocean endseq
458004873_f084c47a88,startseq skateboarder skates down stairs endseq,startseq man is sitting on bench facing another man who is standing endseq
458183774_afe65abf67,startseq the white and white bird is running on the grass endseq,startseq dog rolls on his back in the grass endseq
458213442_12c59e61a0,startseq black and white dog jumping over fence endseq,startseq black and white dog is jumping over hurdle endseq
458735196_176e7df6b3,startseq little girl is playing with toy endseq,"startseq ""a brown dog indoors with large pink toy ."" endseq"
459284240_5a4167bf92,startseq two men are standing on ice covered endseq,startseq toddler starting at clown walking down snowy sidewalk endseq
459778335_857d8ffebf,startseq man in red bathing suit jumping on the beach endseq,startseq father with his two kids at the ocean with the young boy flying up in the air endseq
459814265_d48ba48978,startseq white dog is running on the grass endseq,"startseq ""a big shaggy dog runs in field of dandylions ."" endseq"
460195978_fc522a4979,startseq man in blue shirt is playing cricket endseq,startseq black dog is in the grass with woman in jeans endseq
460350019_af60511a3b,startseq man is playing with dog in the grass endseq,startseq black dog and woman in red shirt playing tug of war endseq
460478198_83039f2593,startseq two dogs are running on the beach endseq,startseq dog chasing another dog by lake endseq
460781612_6815c74d37,startseq two dogs are playing in field endseq,startseq black and white dog catches frisbee in midair endseq
460935487_75b2da7854,startseq dog rolls on its hind legs endseq,startseq black and white dog is running up path towards some potted plants endseq
460973814_5eacd1ced4,startseq three children are sitting at table in room endseq,startseq group of people sitting around table drinking tea or coffee endseq
461019788_bc0993dabd,startseq two people are sitting on the shore of water endseq,startseq couple stands on dock by the water hugging endseq
461505235_590102a5bf,startseq man stands on rocky crag at the top of rocky crag at the bottom of crag at the bottom of crag at the bottom of crag at the bottom of crag at the bottom of,startseq man repels down cliff over water endseq
462080147_ca088e6541,startseq two men are playing with each other endseq,startseq man holding bottle of wine with box on his head endseq
462198798_89e2df0358,startseq dog is running through water endseq,"startseq ""a big black dog is walking along the water 's edge ."" endseq"
462288558_b31a8a976f,startseq the small dog is sticking his hands on his back endseq,startseq pitbull dog is biting another dog on the face endseq
463786229_b54c9a3436,startseq person is performing trick in the air with his head in its mouth endseq,startseq bee clings to yellow flower endseq
463875230_f19e83d6df,startseq the man is jumping his skateboard on the air endseq,startseq girl wearing pink swings on swing endseq
463978865_c87c6ca84c,startseq man in yellow shirt is parked on the street endseq,startseq man sitting on the left near man walking along the side of street with colorful buildings endseq
464116251_1ac4bc91f8,startseq three dogs are playing in the grass endseq,"startseq ""a black brown and white dog jumping over pile of logs with trees in the background ."" endseq"
464251704_b0f0c4c87a,startseq person in black shirt is suspended in the air endseq,startseq girl in pink top is swinging with her hair flying everywhere endseq
464506846_1734302b58,startseq dog is running through the grass endseq,startseq black dog is running across grassy field in front of some bushes endseq
464527562_a18f095225,startseq small dog is playing with green object on the grass endseq,startseq brown dog has purple disc endseq
465859490_b077219424,startseq woman in white dress is standing in front of an audience endseq,startseq group of people are listening to man with moustache speak into microphone endseq
465994762_1760e83c5d,startseq two dogs are climbing over tree endseq,startseq brown dog jumps over chain endseq
466176275_f40d37851e,startseq black dog with toy in its mouth is running in the grass endseq,"startseq ""a grey """" labradoodle """" jumps over another large dog ."" endseq"
466956209_2ffcea3941,startseq man is climbing up steep cliff endseq,startseq distant person is climbing up very sheer mountain endseq
466956675_a2fb6bf901,startseq person in yellow helmet is climbing up the side of snowy cliff endseq,startseq man climbing sheer rock wall endseq
467858872_f3431df682,startseq two dogs are playing with something in the dirt endseq,startseq two dogs are bending over and looking down into ditch to investigate endseq
467960888_6943257534,startseq dog running on beach endseq,startseq black dog running along the edge of the ocean endseq
468102269_135938e209,startseq three people in formal wear costumes dance endseq,"startseq ""a couple kiss outdoors while another couple watch ."" endseq"
468141298_3154d717e1,startseq man is walking on the street next to the buildings endseq,startseq street view with cars and buildings endseq
468310111_d9396abcbd,startseq two dogs are standing in grassy field endseq,startseq black and white dog is running through cow field endseq
468608014_09fd20eb9b,startseq dog is running on the ground endseq,startseq dog bites an object offered by person endseq
468871328_72990babd4,startseq dog is jumping off the stairs endseq,startseq two brown dogs are laying on the street next to metal pole endseq
468911753_cc595f5da0,startseq the brown dog is running through the grass endseq,startseq brown and white dog runs away carrying big stick endseq
468918320_9c275b877f,startseq girl in red shirt is sitting on tree endseq,startseq young couple kissing on park bench endseq
468930779_8008d90e10,startseq two dogs are running through water endseq,startseq brown dog carrying stick in its mouth endseq
469021173_aa31c07108,startseq man in yellow shirt crouches on the side of an orange brick wall endseq,startseq hiker wearing an orange backpack is walking through long grass endseq
469029994_349e138606,startseq man in red pants is walking on the street endseq,startseq backpacker looks over cliff towards the fog endseq
469259974_bb03c15c42,startseq man in red shirt and glasses is looking at the camera endseq,startseq man drinking and reading the paper endseq
469617651_278e586e46,startseq man on bike rides off stairs endseq,startseq couple of people sit in chairs in waiting room lit in sunlight endseq
469969326_4b84073286,startseq man in red shirt and red shirt is standing on cliff overlooking water endseq,startseq woman carrying backpack sits on rocky ledge overlooking the water endseq
470373679_98dceb19e7,startseq woman is sitting on wooden bench in front of building endseq,startseq group of people inside building that overlooks large mountain endseq
470887781_faae5dae83,startseq the man is being held by the crowd of the crowd endseq,startseq crowd at rally endseq
470887785_e0b1241d94,startseq man in leather shirt and glasses is holding newspaper of other men are sitting on the street endseq,startseq lady is giving speech dealing with the armenian genocide endseq
470887791_86d5a08a38,startseq man in blue shirt and white shirt is holding camera endseq,startseq man and woman standing with group of spectators endseq
470887795_8443ce53d0,startseq two children in green shirts are standing in front of green barrier endseq,startseq boy drinks from glass bottle endseq
470903027_489cc507de,startseq person is hiking on the grass with his owner behind him endseq,startseq man sitting cross-legged in field endseq
471402959_0b187560df,startseq man wearing red apron resting his head on his head endseq,startseq an african american woman wearing an orange dress with hood is covering her face with her hand while sitting in chair endseq
472396131_6e97068d93,startseq dog runs through the grass endseq,startseq puppy catching bird endseq
472535997_0dbf42b9f3,startseq young girl in blue dress is dancing with sacks endseq,startseq two african toddlers dressed in pink are playing in sparsely decorated kitchen endseq
472661386_723aae880b,startseq group of women in red outfits are posing for picture endseq,startseq class holds up their certificates endseq
472860064_a96a228796,startseq black dog is running on the grass endseq,startseq black dog in front of tree jumping towards red frisbee endseq
473220329_819a913bbb,startseq two people stand on large green water endseq,startseq woman is walking away on wooden walkway through field of golden plants endseq
473988700_570422001b,startseq black and white dog is running through water endseq,startseq black and brown dog shakes water off of itself endseq
475042270_719ebe6c48,startseq dog is running in the grass endseq,startseq golden retriever is playing with smaller black and brown dog in pink collar endseq
475313618_bdb2f72be5,startseq the skateboarder is skateboarding endseq,startseq female in bluejeans is standing in an enclosed area with arms folded endseq
475317104_1cdc1653b4,startseq young boy is doing back flip on skateboard endseq,startseq girl standing in an enclosed place endseq
475778645_65b7343c47,startseq young boy is jumping off of the water endseq,startseq boy in harness climbs rock wall endseq
475816542_f5c2736815,startseq dog is running on the grass endseq,startseq black and brown dog are running toward the camera endseq
475980315_b8ecd50094,startseq white dog is running through water endseq,startseq white dog fetches stick as he swims in lake endseq
476233374_e1396998ef,startseq girl in red shirt and white dress is running on the beach endseq,startseq little boy and little girl are playing with pebbles on the beach endseq
